"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\15209\Desktop\qhAutoFinal\.idea\QAAutoForm.iml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\15209\Desktop\qhAutoFinal\.idea\jsLibraryMappings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\15209\Desktop\qhAutoFinal\.idea\misc.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\15209\Desktop\qhAutoFinal\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\15209\Desktop\qhAutoFinal\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\15209\Desktop\qhAutoFinal\.idea\workspace.xml", "XML", 0, 0, 0, 102, 0, 0, 0, 0, 102
"c:\Users\15209\Desktop\qhAutoFinal\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\15209\Desktop\qhAutoFinal\client\build\asset-manifest.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\15209\Desktop\qhAutoFinal\client\build\index.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 3, 39
"c:\Users\15209\Desktop\qhAutoFinal\client\build\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\15209\Desktop\qhAutoFinal\client\build\precache-manifest.cc648e681f0e67130116e9563e4ea228.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 50
"c:\Users\15209\Desktop\qhAutoFinal\client\build\service-worker.js", "JavaScript", 0, 0, 15, 0, 0, 0, 17, 8, 40
"c:\Users\15209\Desktop\qhAutoFinal\client\build\static\css\2.f7963b97.chunk.css", "CSS", 0, 0, 0, 0, 3, 0, 13, 0, 16
"c:\Users\15209\Desktop\qhAutoFinal\client\build\static\css\main.c6054f4a.chunk.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 0, 2
