"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "Log", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\15209\Desktop\qhAutoFinal-v1\.idea\QAAutoForm.iml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\15209\Desktop\qhAutoFinal-v1\.idea\jsLibraryMappings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\15209\Desktop\qhAutoFinal-v1\.idea\misc.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\15209\Desktop\qhAutoFinal-v1\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\15209\Desktop\qhAutoFinal-v1\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\15209\Desktop\qhAutoFinal-v1\.idea\workspace.xml", "XML", 0, 0, 0, 102, 0, 0, 0, 0, 0, 102
"c:\Users\15209\Desktop\qhAutoFinal-v1\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\build\asset-manifest.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\build\index.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 3, 40
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\build\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\build\precache-manifest.cc648e681f0e67130116e9563e4ea228.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 50
"c:\Users\15209\Desktop\qhAutoFinal-v1\client\build\service-worker.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 17, 8, 40
